Date,Day of the Week,Location,Time Group,Vehicle Count,Weather Conditions,Road Type,Congestion Level
2024-01-08,Monday,Farmgate,Early Morning (5:00 AM – 7:30 AM),107,Sunny,Residential Street,High
2024-01-08,Monday,Farmgate,Morning Rush (7:30 AM – 10:30 AM),128,Rainy,Commercial Street,High
2024-01-08,Monday,Farmgate,Midday (10:30 AM – 2:00 PM),312,Rainy,Entry Point,High
2024-01-08,Monday,Farmgate,Afternoon (2:00 PM – 4:30 PM),266,Rainy,Arterial Road,High
2024-01-08,Monday,Farmgate,Evening Rush (4:30 PM – 8:00 PM),323,Rainy,Flyover,Medium
2024-01-08,Monday,Farmgate,Night (8:00 PM – 11:00 PM),363,Rainy,Arterial Road,Low
2024-01-08,Monday,Farmgate,Late Night (11:00 PM – 5:00 AM),443,Rainy,Arterial Road,Low
2024-01-08,Monday,Mohakhali,Early Morning (5:00 AM – 7:30 AM),179,Rainy,Arterial Road,Low
2024-01-08,Monday,Mohakhali,Morning Rush (7:30 AM – 10:30 AM),372,Cloudy,Flyover,Low
2024-01-08,Monday,Mohakhali,Midday (10:30 AM – 2:00 PM),249,Sunny,Highway,Low
2024-01-08,Monday,Mohakhali,Afternoon (2:00 PM – 4:30 PM),171,Rainy,Highway,Medium
2024-01-08,Monday,Mohakhali,Evening Rush (4:30 PM – 8:00 PM),162,Sunny,Commercial Street,Low
2024-01-08,Monday,Mohakhali,Night (8:00 PM – 11:00 PM),132,Cloudy,Highway,Medium
2024-01-08,Monday,Mohakhali,Late Night (11:00 PM – 5:00 AM),462,Sunny,Residential Street,High
2024-01-08,Monday,Gulshan-2,Early Morning (5:00 AM – 7:30 AM),250,Rainy,Flyover,Low
2024-01-08,Monday,Gulshan-2,Morning Rush (7:30 AM – 10:30 AM),370,Sunny,Highway,High
2024-01-08,Monday,Gulshan-2,Midday (10:30 AM – 2:00 PM),193,Sunny,Entry Point,Medium
2024-01-08,Monday,Gulshan-2,Afternoon (2:00 PM – 4:30 PM),463,Sunny,Flyover,High
2024-01-08,Monday,Gulshan-2,Evening Rush (4:30 PM – 8:00 PM),303,Rainy,Flyover,Medium
2024-01-08,Monday,Gulshan-2,Night (8:00 PM – 11:00 PM),295,Cloudy,Residential Street,Low
2024-01-08,Monday,Gulshan-2,Late Night (11:00 PM – 5:00 AM),214,Cloudy,Flyover,Low
2024-01-08,Monday,Jatrabari,Early Morning (5:00 AM – 7:30 AM),332,Rainy,Highway,Medium
2024-01-08,Monday,Jatrabari,Morning Rush (7:30 AM – 10:30 AM),156,Rainy,Entry Point,Medium
2024-01-08,Monday,Jatrabari,Midday (10:30 AM – 2:00 PM),431,Cloudy,Highway,Medium
2024-01-08,Monday,Jatrabari,Afternoon (2:00 PM – 4:30 PM),399,Sunny,Arterial Road,Medium
2024-01-08,Monday,Jatrabari,Evening Rush (4:30 PM – 8:00 PM),163,Sunny,Highway,Medium
2024-01-08,Monday,Jatrabari,Night (8:00 PM – 11:00 PM),177,Sunny,Commercial Street,Low
2024-01-08,Monday,Jatrabari,Late Night (11:00 PM – 5:00 AM),429,Cloudy,Residential Street,High
2024-01-08,Monday,Uttara Sector 7,Early Morning (5:00 AM – 7:30 AM),309,Rainy,Entry Point,Medium
2024-01-08,Monday,Uttara Sector 7,Morning Rush (7:30 AM – 10:30 AM),318,Sunny,Arterial Road,Low
2024-01-08,Monday,Uttara Sector 7,Midday (10:30 AM – 2:00 PM),184,Cloudy,Arterial Road,High
2024-01-08,Monday,Uttara Sector 7,Afternoon (2:00 PM – 4:30 PM),482,Sunny,Arterial Road,Low
2024-01-08,Monday,Uttara Sector 7,Evening Rush (4:30 PM – 8:00 PM),242,Cloudy,Commercial Street,High
2024-01-08,Monday,Uttara Sector 7,Night (8:00 PM – 11:00 PM),458,Cloudy,Flyover,High
2024-01-08,Monday,Uttara Sector 7,Late Night (11:00 PM – 5:00 AM),111,Cloudy,Residential Street,Low
2024-01-08,Monday,Motijheel,Early Morning (5:00 AM – 7:30 AM),105,Rainy,Arterial Road,High
2024-01-08,Monday,Motijheel,Morning Rush (7:30 AM – 10:30 AM),250,Cloudy,Arterial Road,Medium
2024-01-08,Monday,Motijheel,Midday (10:30 AM – 2:00 PM),351,Rainy,Residential Street,Medium
2024-01-08,Monday,Motijheel,Afternoon (2:00 PM – 4:30 PM),243,Cloudy,Arterial Road,Medium
2024-01-08,Monday,Motijheel,Evening Rush (4:30 PM – 8:00 PM),241,Sunny,Commercial Street,Low
2024-01-08,Monday,Motijheel,Night (8:00 PM – 11:00 PM),356,Sunny,Flyover,Medium
2024-01-08,Monday,Motijheel,Late Night (11:00 PM – 5:00 AM),204,Rainy,Residential Street,High
2024-01-08,Monday,Shahbagh,Early Morning (5:00 AM – 7:30 AM),443,Rainy,Highway,Low
2024-01-08,Monday,Shahbagh,Morning Rush (7:30 AM – 10:30 AM),187,Rainy,Commercial Street,Medium
2024-01-08,Monday,Shahbagh,Midday (10:30 AM – 2:00 PM),219,Rainy,Flyover,Medium
2024-01-08,Monday,Shahbagh,Afternoon (2:00 PM – 4:30 PM),306,Rainy,Commercial Street,Low
2024-01-08,Monday,Shahbagh,Evening Rush (4:30 PM – 8:00 PM),480,Cloudy,Arterial Road,High
2024-01-08,Monday,Shahbagh,Night (8:00 PM – 11:00 PM),268,Cloudy,Flyover,High
2024-01-08,Monday,Shahbagh,Late Night (11:00 PM – 5:00 AM),242,Cloudy,Flyover,High
2024-01-08,Monday,Mirpur-10,Early Morning (5:00 AM – 7:30 AM),255,Sunny,Commercial Street,Medium
2024-01-08,Monday,Mirpur-10,Morning Rush (7:30 AM – 10:30 AM),165,Rainy,Flyover,Low
2024-01-08,Monday,Mirpur-10,Midday (10:30 AM – 2:00 PM),186,Rainy,Residential Street,High
2024-01-08,Monday,Mirpur-10,Afternoon (2:00 PM – 4:30 PM),301,Rainy,Commercial Street,Medium
2024-01-08,Monday,Mirpur-10,Evening Rush (4:30 PM – 8:00 PM),175,Cloudy,Residential Street,Medium
2024-01-08,Monday,Mirpur-10,Night (8:00 PM – 11:00 PM),236,Sunny,Arterial Road,Low
2024-01-08,Monday,Mirpur-10,Late Night (11:00 PM – 5:00 AM),488,Cloudy,Highway,Low
2024-01-08,Monday,Gabtoli,Early Morning (5:00 AM – 7:30 AM),325,Sunny,Flyover,Low
2024-01-08,Monday,Gabtoli,Morning Rush (7:30 AM – 10:30 AM),452,Cloudy,Residential Street,Low
2024-01-08,Monday,Gabtoli,Midday (10:30 AM – 2:00 PM),272,Cloudy,Flyover,High
